scope_group,bucket_start,bucket_end,bucket_label,file_count
plans,80,89,80-89,0
plans,90,99,90-99,0
plans,100,109,100-109,0
plans,110,119,110-119,0
plans,120,129,120-129,0
plans,130,139,130-139,0
plans,140,149,140-149,0
plans,150,159,150-159,0
plans,160,169,160-169,0
plans,170,179,170-179,1
plans,180,189,180-189,1
plans,190,199,190-199,0
plans,200,209,200-209,1
plans,210,219,210-219,0
plans,220,229,220-229,0
plans,230,239,230-239,0
plans,240,249,240-249,0
plans,250,259,250-259,0
plans,260,269,260-269,0
plans,270,279,270-279,0
plans,280,289,280-289,0
plans,290,299,290-299,1
plans,300,309,300-309,0
plans,310,319,310-319,0
plans,320,329,320-329,0
plans,330,339,330-339,0
plans,340,349,340-349,0
plans,350,359,350-359,0
plans,360,369,360-369,0
plans,370,379,370-379,0
plans,380,389,380-389,0
plans,390,399,390-399,0
plans,400,409,400-409,0
plans,410,419,410-419,1
plans,420,429,420-429,0
plans,430,439,430-439,0
plans,440,449,440-449,0
plans,450,459,450-459,0
plans,460,469,460-469,1
plans,470,479,470-479,0
plans,480,489,480-489,0
plans,490,499,490-499,0
plans,500,509,500-509,0
plans,510,519,510-519,0
plans,520,529,520-529,0
plans,530,539,530-539,0
plans,540,549,540-549,0
plans,550,559,550-559,0
plans,560,569,560-569,0
plans,570,579,570-579,0
plans,580,589,580-589,0
plans,590,599,590-599,0
plans,600,609,600-609,0
plans,610,619,610-619,0
plans,620,629,620-629,0
plans,630,639,630-639,0
plans,640,649,640-649,0
plans,650,659,650-659,0
plans,660,669,660-669,0
plans,670,679,670-679,0
plans,680,689,680-689,0
plans,690,699,690-699,0
plans,700,709,700-709,0
plans,710,719,710-719,0
plans,720,729,720-729,0
plans,730,739,730-739,0
plans,740,749,740-749,0
plans,750,759,750-759,0
plans,760,769,760-769,0
plans,770,779,770-779,0
plans,780,789,780-789,0
plans,790,799,790-799,0
plans,800,809,800-809,0
plans,810,819,810-819,0
plans,820,829,820-829,0
plans,830,839,830-839,0
plans,840,849,840-849,0
plans,850,859,850-859,0
plans,860,869,860-869,0
plans,870,879,870-879,0
plans,880,889,880-889,0
plans,890,899,890-899,0
plans,900,909,900-909,0
plans,910,919,910-919,0
plans,920,929,920-929,0
plans,930,939,930-939,0
plans,940,949,940-949,0
plans,950,959,950-959,0
plans,960,969,960-969,0
plans,970,979,970-979,0
plans,980,989,980-989,0
plans,990,999,990-999,0
plans,1000,1009,1000-1009,0
plans,1010,1019,1010-1019,0
plans,1020,1029,1020-1029,0
plans,1030,1039,1030-1039,0
plans,1040,1049,1040-1049,0
agents,0,9,0-9,1
agents,10,19,10-19,0
agents,20,29,20-29,0
agents,30,39,30-39,0
agents,40,49,40-49,0
agents,50,59,50-59,3
agents,60,69,60-69,1
agents,70,79,70-79,0
agents,80,89,80-89,1
agents,90,99,90-99,0
agents,100,109,100-109,0
agents,110,119,110-119,0
agents,120,129,120-129,0
agents,130,139,130-139,0
agents,140,149,140-149,0
agents,150,159,150-159,0
agents,160,169,160-169,0
agents,170,179,170-179,0
agents,180,189,180-189,3
agents,190,199,190-199,0
agents,200,209,200-209,0
agents,210,219,210-219,0
agents,220,229,220-229,0
agents,230,239,230-239,2
agents,240,249,240-249,1
agents,250,259,250-259,0
agents,260,269,260-269,0
agents,270,279,270-279,1
agents,280,289,280-289,1
agents,290,299,290-299,2
agents,300,309,300-309,0
agents,310,319,310-319,2
agents,320,329,320-329,0
agents,330,339,330-339,1
agents,340,349,340-349,0
agents,350,359,350-359,1
agents,360,369,360-369,1
agents,370,379,370-379,0
agents,380,389,380-389,0
agents,390,399,390-399,0
agents,400,409,400-409,1
agents,410,419,410-419,3
agents,420,429,420-429,0
agents,430,439,430-439,2
agents,440,449,440-449,1
agents,450,459,450-459,2
agents,460,469,460-469,0
agents,470,479,470-479,0
agents,480,489,480-489,0
agents,490,499,490-499,2
agents,500,509,500-509,2
agents,510,519,510-519,0
agents,520,529,520-529,1
agents,530,539,530-539,0
agents,540,549,540-549,1
agents,550,559,550-559,1
agents,560,569,560-569,0
agents,570,579,570-579,0
agents,580,589,580-589,1
agents,590,599,590-599,1
agents,600,609,600-609,0
agents,610,619,610-619,1
agents,620,629,620-629,0
agents,630,639,630-639,0
agents,640,649,640-649,0
agents,650,659,650-659,0
agents,660,669,660-669,0
agents,670,679,670-679,0
agents,680,689,680-689,0
agents,690,699,690-699,0
agents,700,709,700-709,0
agents,710,719,710-719,0
agents,720,729,720-729,0
agents,730,739,730-739,0
agents,740,749,740-749,0
agents,750,759,750-759,0
agents,760,769,760-769,0
agents,770,779,770-779,0
agents,780,789,780-789,0
agents,790,799,790-799,0
agents,800,809,800-809,0
agents,810,819,810-819,0
agents,820,829,820-829,0
agents,830,839,830-839,0
agents,840,849,840-849,0
agents,850,859,850-859,0
agents,860,869,860-869,0
agents,870,879,870-879,0
agents,880,889,880-889,0
agents,890,899,890-899,0
agents,900,909,900-909,0
agents,910,919,910-919,0
agents,920,929,920-929,0
agents,930,939,930-939,0
agents,940,949,940-949,0
agents,950,959,950-959,0
agents,960,969,960-969,0
agents,970,979,970-979,0
agents,980,989,980-989,0
agents,990,999,990-999,0
agents,1000,1009,1000-1009,0
agents,1010,1019,1010-1019,0
agents,1020,1029,1020-1029,0
agents,1030,1039,1030-1039,0
agents,1040,1049,1040-1049,0
skills,0,9,0-9,1
skills,10,19,10-19,0
skills,20,29,20-29,4
skills,30,39,30-39,2
skills,40,49,40-49,4
skills,50,59,50-59,5
skills,60,69,60-69,2
skills,70,79,70-79,2
skills,80,89,80-89,3
skills,90,99,90-99,3
skills,100,109,100-109,2
skills,110,119,110-119,3
skills,120,129,120-129,3
skills,130,139,130-139,3
skills,140,149,140-149,0
skills,150,159,150-159,2
skills,160,169,160-169,0
skills,170,179,170-179,3
skills,180,189,180-189,2
skills,190,199,190-199,0
skills,200,209,200-209,1
skills,210,219,210-219,1
skills,220,229,220-229,0
skills,230,239,230-239,1
skills,240,249,240-249,0
skills,250,259,250-259,0
skills,260,269,260-269,1
skills,270,279,270-279,0
skills,280,289,280-289,0
skills,290,299,290-299,0
skills,300,309,300-309,0
skills,310,319,310-319,1
skills,320,329,320-329,0
skills,330,339,330-339,0
skills,340,349,340-349,0
skills,350,359,350-359,0
skills,360,369,360-369,0
skills,370,379,370-379,1
